SEP = ,
MQ-2, MQ-3, MQ-4, MQ-5, MQ-6, MQ-7, MQ-8, MQ-9MQ2 to MQ9 - Calibracion,2019-05-31 12:41:06.338002,Calibracion sensores MQ
Note - Make sure you are in a clean room and the sensor has pre-heated almost 4 hours,2019-05-31 12:41:06.353626,Calibracion sensores MQ
Note - All values are in KOhms,2019-05-31 12:41:06.353626,Calibracion sensores MQ
Autonumeric, MQ2(R0), MQ3(R0), MQ4(R0), MQ5(R0), MQ6(R0), MQ7(R0),2019-05-31 12:41:06.353626,Calibracion sensores MQ
0,9.39,0.69,13.23,29.94,1.05,1.12,0.15,4.29,2019-05-31 12:41:14.573071,Calibracion sensores MQ
1,9.39,0.97,13.23,inf,1.27,1.12,0.15,4.29,2019-05-31 12:41:22.917857,Calibracion sensores MQ
2,9.39,0.97,13.23,inf,1.27,1.50,0.18,4.29,2019-05-31 12:41:31.247945,Calibracion sensores MQ
3,19.80,0.97,20.75,inf,1.56,1.50,0.18,4.91,2019-05-31 12:41:39.593375,Calibracion sensores MQ
4,19.80,0.97,20.98,inf,1.56,1.50,0.18,6.06,2019-05-31 12:41:47.917842,Calibracion sensores MQ
5,19.80,0.97,20.98,inf,1.56,1.50,0.18,6.06,2019-05-31 12:41:56.271200,Calibracion sensores MQ
6,19.80,0.97,20.98,inf,1.56,1.50,0.22,6.06,2019-05-31 12:42:04.609259,Calibracion sensores MQ
7,19.80,0.97,20.98,inf,1.92,1.50,0.22,6.06,2019-05-31 12:42:12.938378,Calibracion sensores MQ
8,19.80,0.97,20.98,inf,1.92,1.50,0.22,6.06,2019-05-31 12:42:21.283265,Calibracion sensores MQ
9,19.80,0.97,20.98,inf,1.92,1.52,0.26,7.35,2019-05-31 12:42:29.612070,Calibracion sensores MQ
10,19.80,1.03,20.98,inf,2.41,2.12,0.27,6.06,2019-05-31 12:42:37.956891,Calibracion sensores MQ
11,19.80,1.54,20.98,inf,2.41,2.12,0.27,6.06,2019-05-31 12:42:46.301990,Calibracion sensores MQ
12,19.80,1.54,20.98,inf,2.41,2.12,0.27,6.06,2019-05-31 12:42:54.630976,Calibracion sensores MQ
13,19.80,1.54,20.98,inf,2.41,2.12,0.27,6.06,2019-05-31 12:43:02.975336,Calibracion sensores MQ
14,19.80,1.54,20.98,inf,2.41,2.12,0.27,6.06,2019-05-31 12:43:11.320105,Calibracion sensores MQ
15,19.80,1.54,20.98,inf,2.41,2.12,0.27,6.06,2019-05-31 12:43:19.649306,Calibracion sensores MQ
16,19.80,1.54,20.98,inf,2.41,2.12,0.34,6.06,2019-05-31 12:43:27.990953,Calibracion sensores MQ
17,19.80,1.54,20.98,inf,2.41,2.12,0.34,6.06,2019-05-31 12:43:36.328303,Calibracion sensores MQ
18,19.80,1.54,20.98,inf,2.41,2.12,0.34,6.06,2019-05-31 12:43:44.675166,Calibracion sensores MQ
19,19.80,1.54,20.98,inf,2.41,2.12,0.34,7.77,2019-05-31 12:43:53.003822,Calibracion sensores MQ
20,19.80,1.54,20.98,inf,2.41,2.12,0.34,9.61,2019-05-31 12:44:01.348413,Calibracion sensores MQ
